article_id,pos_word,neg_word,total_word,sentiment
1023021,22,10,640,0.01875
429671,49,51,1626,-0.0012300123001230013
794081,32,16,921,0.01737242128121607
1837332,35,23,913,0.013143483023001095
713761,26,37,1188,-0.009259259259259259
484911,29,41,1445,-0.008304498269896194
1006281,30,33,1742,-0.001722158438576349
1054691,23,15,1033,0.007744433688286544
998631,29,15,695,0.02014388489208633
1013311,23,30,1214,-0.005766062602965404
1296671,29,37,947,-0.008447729672650475
1046411,36,27,829,0.010856453558504222
1833142,52,16,980,0.036734693877551024
1201001,30,25,1061,0.00471253534401508
856401,39,19,1336,0.014970059880239521
884101,36,11,711,0.035161744022503515
1220021,25,18,1048,0.006679389312977099
1081461,33,35,1757,-0.0011383039271485487
871501,34,22,839,0.014302741358760428
894551,28,31,988,-0.003036437246963563
625641,31,29,1045,0.0019138755980861245
299903,7,13,391,-0.015345268542199489
847551,28,21,936,0.007478632478632479
590861,30,25,1201,0.004163197335553705
687261,13,9,383,0.010443864229765013
365111,6,2,214,0.018691588785046728
999861,21,14,982,0.007128309572301426
1736752,28,20,674,0.011869436201780416
1370351,17,16,704,0.0014204545454545455
1686962,22,8,666,0.021021021021021023
493471,37,17,800,0.025
967931,33,29,700,0.005714285714285714
1243661,41,28,1078,0.012059369202226345
671441,30,14,571,0.028021015761821366
1038051,17,22,1281,-0.0039032006245121
1067081,26,9,1011,0.016815034619188922
809451,32,14,817,0.022031823745410038
1724862,31,14,958,0.017745302713987474
1327331,55,31,936,0.02564102564102564
1643792,34,26,956,0.008368200836820083
1067891,35,29,1419,0.004228329809725159
1220731,25,19,722,0.008310249307479225
1786302,14,18,804,-0.004975124378109453
998781,10,36,679,-0.03829160530191458
1017301,26,30,647,-0.0061823802163833074
896721,32,16,892,0.017937219730941704
309606,19,14,837,0.005973715651135006
1317151,25,29,1002,-0.003992015968063872
816081,32,5,695,0.03884892086330935
1298651,26,7,477,0.039832285115303984
810301,38,20,782,0.023017902813299233
308469,26,8,913,0.019715224534501644
871271,24,20,1015,0.003940886699507389
564931,39,19,1246,0.016051364365971106
979611,34,32,1043,0.0019175455417066154
927111,31,19,1153,0.010407632263660017
320229,11,8,272,0.011029411764705883
1746212,13,5,512,0.015625
319764,24,28,1331,-0.003005259203606311
817411,63,62,1810,0.0005524861878453039
1679942,15,8,662,0.010574018126888218
1869981,26,19,1090,0.006422018348623854
1028791,26,20,1027,0.005842259006815969
367771,6,2,215,0.018604651162790697
586231,19,20,684,-0.0014619883040935672
844281,48,10,895,0.042458100558659215
429151,17,21,413,-0.009685230024213076
1309761,36,40,820,-0.004878048780487805
488411,14,13,467,0.0021413276231263384
621231,12,18,605,-0.009917355371900827
1044121,51,25,880,0.029545454545454545
308301,26,19,879,0.007963594994311717
1761542,32,55,1237,-0.018593371059013743
1304041,30,18,924,0.012987012987012988
668551,29,24,839,0.0059594755661501785
576421,29,18,741,0.014844804318488529
1258281,48,45,1213,0.00247320692497939
1334161,28,18,659,0.015174506828528073
1118281,43,33,1853,0.005396654074473826
918031,24,8,925,0.017297297297297298
1757662,21,15,972,0.006172839506172839
734161,19,9,520,0.019230769230769232
1907601,36,7,708,0.04096045197740113
750501,42,24,859,0.020954598370197905
731511,37,23,717,0.019525801952580194
312396,28,60,1297,-0.02467232074016962
830911,21,31,923,-0.010834236186348862
318915,43,40,1404,0.002136752136752137
834691,30,13,712,0.023876404494382022
1584912,25,19,652,0.009202453987730062
1056111,34,11,1068,0.02153558052434457
1281721,34,24,1108,0.009025270758122744
1098041,38,13,1060,0.02358490566037736
931391,17,16,505,0.0019801980198019802
986381,7,9,413,-0.004842615012106538
1067921,40,14,708,0.03672316384180791
493861,45,29,818,0.019559902200488997
769341,30,8,814,0.02702702702702703
634631,39,10,663,0.043740573152337855
1631792,21,10,676,0.016272189349112426
